addr,total,success,fail
0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,166,157,9
0x25c5515918f4281ef3efbd91a56e4700ab8cf893,111,4,107
0x98dfb360cbc65045a8415fa2514f549cd3000f02,494,494,0
0x0d438f3b5175bebc262bf23753c1e53d03432bde,444,166,278
0xac0e8b91745ac44a6b19e4039cd6f297ef7e2744,193,80,113
0x11e7e09c331b711766cd7ecbaa3c64803a358be8,252,251,1
0x6dcd5956b17d252559917423b0e8081da0cac5b2,40,1,39
0xe1f2735c41505a4a191e5eb6a4c10af886603c43,44,43,1
0x1cf16b52e5d2484a2464fe21c96145e0f04dfcec,194,60,134
0xd4dd6074a4614b7f9bdfc721add6412a9d93005f,72,2,70
0x2fc722c1c77170a61f17962cc4d039692f033b43,104,103,1
0x1add12d3adcd09a474cd81df29cf57604123e899,47,46,1
0xdd014255c8f8cb12e87db2bae51f9f98b32ad13d,58,53,5
0x0ee80069c9b4993882fe0b3fc256260eff385982,282,23,259
0xee4458e052b533b1aabd493b5f8c4d85d7b263dc,222,222,0
0xfbd9e55571dc343a731917cc2a7479025ad348e6,21,21,0
0x08ba8cbbefa64aaf9df25e57fe3f15ecc277af74,118,93,25
0xe4bb272ad26a05318009f7f769eb4d6fd24effb5,87,77,10
0x02aa731631c6d7f8241d74f906f5b51724ab98f8,294,5,289
0xfd3fd9b793bac60e7f0a9b9fb759db3e250383cb,196,74,122
0x584292974026978586c3007b5a15b69118130bbb,279,278,1
0x9c9502eac5781513405bab0345ba6cbb7e4756c5,26,26,0
0x1aba27d6a420feb25af6cf6b80b93b7526725a71,103,11,92
0xa336fbb3c26fc811c7375eda079aa0916d5e7ec3,18,17,1
0x61b5c3aee3a25f6f83531d548a4d2ee58450f5d9,65,3,62
0x84f4226af1eb4b5e76c5dd203eef7f1f3452fb9d,178,25,153
0x4dab23c0a529d1caf86f7a902d5340959d170c1e,235,12,223
0x9db76501e0e433851f9b4a907c449576a6155545,77,38,39
0xc02392336420bb54ce2da8a8aa4b118f2dceeb04,252,16,236
0x2c974b2d0ba1716e644c1fc59982a89ddd2ff724,364,364,0
0x7d8820fa92eb1584636f4f5b8515b5476b75171a,193,92,101
0xfbbe9b1142c699512545f47937ee6fae0e4b0aa9,107,107,0
0x5b322514ff727253292637d9054301600c2c81e8,108,108,0
0xabe580e7ee158da464b51ee1a83ac0289622e6be,166,166,0
0x4ca4d3b5b01207ffce9bea2db9857d4804aa89f3,326,72,254
0x8af7abb1c69bf0a8d3b49b252fff2843596504a2,156,68,88
0xb1abd7aba7d99bbefb33d1dfc66b0dd522335350,43,33,10
0x6250b989ecf7cb82c7892e1cea604ed813423635,131,114,17
0xd4f40de30ce845ce6cd3ea495c9c2e4f04a2f608,219,218,1
0xe7445f91479966e7c484dbb87e46bc0c15827617,25,25,0
0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18,135,135,0
0xc50b06f4444c5a795f1246d9416adffc178033fb,219,4,215
0xe5b30a6525beee36781c221e0d8aa5a7aa4b9add,82,50,32
0x17e8429cc6785f5c1597e710dfb748c7bee1c21e,199,63,136
0xd55236d48606c295adebf129dad04fc74bfaa708,68,68,0
0x7e01efef66ae365f3b8c0fc48d6d400bbfbee24f,43,42,1
0x2106c00ac7da0a3430ae667879139e832307aeaa,208,64,144
0xe7574b5b209d90eb04361da02bc2238f166ec985,231,231,0
0xdccc916bf4a0186065f4d1e5b94176f4d17b8c42,114,49,65
0xc68c9c5fa14f718b39a6d836b8870fadde4f2aa5,191,188,3
0xdab1d2ffb0fc22c9dde2c4474220c50164ff124c,145,57,88
0xd8d1c0f8d67826eeda85d46e86c5750681f04af4,32,31,1
0x0e3d26a95ecb40778f43f28abe110c17673b89de,280,242,38
0x7bd6fd23db03f1d394d39d699d7ede7dd5aefec0,14,1,13
0xb3165abdfeb0a3779264aac5c71b81b1b9a4b705,182,2,180
0x45ebb5fe718f40052fb2dc2463c13717b7b72768,209,50,159
0x6f75beaa3d3d8a15e08a9f499464c696fc4d4cde,286,60,226
0x97308738335a42e9b67fdbb1d0c0f92158cbf75a,82,57,25
0xb365fa523d853fbfa5608e3e4c8457166287d958,283,52,231
0x8fb1f46c9bd769b27543ca76d8f0016f4dd793dd,50,0,50
0xa048c212449c68eaaf866309c1202db7ab512c5c,63,61,2
0xdaf2760578f4bcc52b1f451b5b8b04d3dc49c9fb,277,113,164
0x3e54b6c7610a734a83f3542f5b5f9ca2dc6fae48,119,49,70
0xeb4db2c0899841a466fb1e5bb2b13b1041b22406,51,51,0
0xff7caa55f41fea41be8d2bcb1b4cc734d24162cc,70,22,48
0x64195bab73c76fdb059f667116b3c1d49dafdabe,455,45,410
0x8e1ede0f23091a7b7daecfc259d7e411e9b96097,32,32,0
0xace669531365ec127c308d89fe0b5d531d04cd52,77,72,5
0x2781246fe707bb15cee3e5ea354e2154a2877b16,171,90,81
0x10010078a54396f62c96df8532dc2b4847d47ed3,52,52,0
0x0b63128c40737b13647552e0c926bcfeccc35f93,136,3,133
0xea5f70faa03f5c30b96029635c8d431d1a3cd1b8,174,47,127
0xd487892bb4c57edbe7ab401d9fe801c8fe6473f5,70,69,1
0x787cf4212e8840dac775b496ef7e2c06f717e779,293,78,215
0xa3a5c5a9494640b2c15b1ff328bb26809279fa1f,36,0,36
0x4d68ce90c48fbe79bba500f99d0df8f5050ce7df,61,56,5
0x8b27a351690e62b623a7630c5294e7dac5371723,223,79,144
0x6b6d2a08c61ce400cad6ebd711a0fe65519412c5,99,79,20
0x31fdd1c6607f47c14a2821f599211c67ac20fa96,71,71,0
0x01379a8c67466af8ce0cf1f99c3d8208b2a3af23,144,69,75
0x6ce9ee25a3942baab219c2ee6fadcb8abefaee52,119,5,114
0x7357dc2f2b6b51c8e2c7efc728002a499d503c17,202,84,118
0x79120de091295505683660cb13c13c92a1c3a99a,150,19,131
0x97872eafd79940c7b24f7bcc1eadb1457347adc9,90,2,88
0x38c5699625c10b309dc6bb18be9c458d19b43d3a,76,60,16
0xef16dfd16bd9de7ffb95fbe69073fe38688a7f8e,27,16,11
0x1bbf25e71ec48b84d773809b4ba55b6f4be946fb,160,160,0
0x82b6fe968f6262d7c8914275d58759de9b61f676,228,227,1
0x0b4b2ba334f476c8f41bfe52a428d6891755554d,170,170,0
0x12c63bbd266db84e117356e664f3604055166cec,371,0,371
0x413d4f3e116bc364e4799f2e7137029c41563cd5,258,87,171
0x5a79182165a2917ef9cccf33f472fe22afffeff8,52,0,52
0xa3e53fe692eeda3502cf5ccfd8a535e1f93d23dd,60,60,0
0x165a2ed732eb15b54b5e8c057cbce6251370d6e8,246,31,215
0x19b86299c21505cdf59ce63740b240a9c822b5e4,311,295,16
0xad22f63404f7305e4713ccbd4f296f34770513f4,268,268,0
0x853d955acef822db058eb8505911ed77f175b99e,330,294,36
0x189f734769cd18099d8a66d1224fef2b1fbf438d,260,22,238
0xa18c3352be081c47abd207b0361c09b74223a1fe,12,4,8
0x92057ed615ef0f302a94ae58406303f7e6827f45,381,34,347
0x86f6bf16f495afc065da4095ac12ccd5e83a8c85,248,3,245
0xd794dd1cada4cf79c9eebaab8327a1b0507ef7d4,190,183,7
0xddfc15ec4a1d1f1cf15dc047dd4f0cc24de0fc34,167,167,0
0x98ab7eaacb2f5157a40a9d1de6c2abd1a73ef9fa,79,2,77
0xaaf6ee66a7480c505fe93dcf253c586b0b7e1340,86,47,39
0xbc0e0c1468aa9d80c0ddda8ca63de3798b4d8b93,129,88,41
0xaa462106da447c0440a4be29614c19387a59a331,197,50,147
0x91401cedcbfd9680ce193a5f54e716504233e998,391,122,269
0x03b8d129a8f6dc62a797b59aa5eebb11ad63dada,233,120,113
0x17f5655c7d834e4772171f30e7315bbc3221f1ee,78,40,38
0x58519ea95cdfad3622c4c574e61a58fa257d9e77,348,12,336
0x004f5683e183908d0f6b688239e3e2d5bbb066ca,177,6,171
0xb0f466cc45dc73d0a6ea889c63390aeea7b6dcc5,83,83,0
0x5c76ad4764a4607cd57644faa937a8ca16729e39,428,41,387
0x999e88075692bcee3dbc07e7e64cd32f39a1d3ab,126,124,2
0x44ab21cb8972c7b783dda32e93ed8a9075da8e6f,122,119,3
0xed0439eacf4c4965ae4613d77a5c2efe10e5f183,176,176,0
0xd432e8611377e307d3e5710132515be1e6aa6156,111,26,85
0x3e5d9d8a63cc8a88748f229999cf59487e90721e,129,2,127
0x2013ff029f9d3d31169f4fdc673c8b9fa0ce1fbd,97,71,26
0x1c4853ec0d55e420002c5efabc7ed8e0ba7a4121,92,5,87
0x33d203fa03bb30b133de0fe2d6533c268ba286b6,159,88,71
0x86232df6947a1c3ed3c7a31ec6be3c43b3234ab1,77,62,15
0x97ca7fe0b0288f5eb85f386fed876618fb9b8ab8,345,53,292
0x5fc045f01a83bd0bfa755815cfc1238f6a0f7d1d,186,11,175
0x0a44a0c1a7547de1a38602c4d8d2ba8e6869412f,58,57,1
0x40b811e1d8856e9969c3608ea6b78e26ca44e0ec,74,56,18
0x7ddc52c4de30e94be3a6a0a2b259b2850f421989,130,4,126
0x37784637e421ea5abc9f3917d65d0257a1ea2d0a,27,24,3
0xfe5f69dfa2d4501e78078266f6d430c079098f90,209,65,144
0x1d81a6c7ddc15b1553d49987c0286faae6734877,149,3,146
0x92e4ae1b2700d3033e5bb7cab10bee66e4a91045,233,226,7
0x33a39af0f83e9d46a055e6eebde3296d26d916f4,127,29,98
0x2e0e1ddd3ac757c5d6014f1ce5fd133f53ca439a,42,0,42
0x4078f1fcc6d4b20d905a87ac18f533ff5e76863e,59,30,29
0x6399c842dd2be3de30bf99bc7d1bbf6fa3650e70,132,129,3
0x1afb69dbc9f54d08dab1bd3436f8da1af819e647,43,43,0
0xcc6c340b722fb9f4551ad45939fd1457f0e218c6,195,68,127
0x3bcf909d564bdac5d7ead28a99664643aabe961a,27,27,0
0x45348f717d9ed95e89ac081b03b7e3aea423cd98,34,1,33
0xeecd1c042c378676ee1985dd66481b2589a809f9,119,77,42
0x9a534628b4062e123ce7ee2222ec20b86e16ca8f,277,173,104
0x01cecf7a8f0095fa622ff03d714fd2244548da35,69,27,42
0x9d418c2cae665d877f909a725402ebd3a0742844,256,6,250
0xc9fba54b933fabec28ee4da7401f79be973e67f2,31,17,14
0xbc7250c8c3eca1dfc1728620af835fca489bfdf3,241,54,187
0x805c09e9e312b5bc1b747cffe64e2d8926270d78,78,1,77
0x961c8c0b1aad0c0b10a51fef6a867e3091bcef17,182,179,3
0x245cd9bab50a79bab89443cc005c6bf7892cef4c,34,33,1
0x3491ead95de2f4a945c2ead3c3afe7747f2ae373,57,26,31
0xff44b5719f0b77a9951636fc5e69d3a1fc9e7d73,132,132,0
0xb9e971c00b1257d0f6d67eff37f4a46e1ab6bf24,191,107,84
0xff062471eaf07b50fc1b77e61787301867610f80,450,14,436
0xa55d9ef16af921b70fed1421c1d298ca5a3a18f1,45,1,44
0x31429d1856ad1377a8a0079410b297e1a9e214c2,104,81,23
0xc5fd1f4dcc8678c5cf5820e096b6db0a10aeeed1,115,47,68
0x4a81f77c8bbca2cba8110279cdbc9f1a8d3eae6b,243,77,166
0x2de72ada48bdf7bac276256d3f016fe058490c34,165,4,161
0xd3a517536da3491db848d260c1f3d81883b1aa7a,212,210,2
0x8392f6669292fa56123f71949b52d883ae57e225,456,456,0
0x1f5a49a1a349ad8b5f7ee4cb02982d9cf3f4df01,46,46,0
0x9b0a29e23d4f1c0fa692c5fc73e05debe60579d2,71,3,68
0xa1102b1acd17be19a1e7ab211379a34d8d0f7407,113,11,102
0xf36b9dd2df416fde94a0f890dd1ebbd4a7cb72fa,45,44,1
0x33c6eec1723b12c46732f7ab41398de45641fa42,172,171,1
0x84c722e6f1363e8d5c6db3ea600bef9a006da824,94,94,0
0x438626ba0a4776cf5d27581bdfb03b9633dc0a92,258,77,181
0x5c9acf5e538a31b78017715652c21d1f7f1d41d1,13,12,1
0xfd5a48faf70433437079ec4da290556b187732c7,31,31,0
0x9f1bf310f74c9674bb3ceb538fcdb7f8dfba3f0d,53,0,53
0xdc193fa6f30635e569ae23f1bd61c9aa9f522044,144,41,103
0x3c03b4ec9477809072ff9cc9292c9b25d4a8e6c6,179,27,152
0xda30f261a962d5aae94c9ecd170544600d193766,26,0,26
0x0e42fb5f6c542a8a027e09ec71380cbb44dbbf5a,95,89,6
0xcc2cd1b8e6298144fd7e86c168d1639c45157126,31,30,1
0xc4df6018f90f91bad7e24f89279305715b3a276f,202,151,51
0xb9ef770b6a5e12e45983c5d80545258aa38f3b78,269,269,0
0x7f0693074f8064cfbcf9fa6e5a3fa0e4f58ccccf,49,49,0
0xeff3f1b9400d6d0f1e8805bdde592f61535f5ecd,63,63,0
0x6ae42c0242ec9a6960b89d5a88d9c3406be31bd1,449,25,424
0x06fcbf38e823efc1e609b9491aab546334c6ee69,96,49,47
0x4acf80143e386a2cf97a9ef9d6fb50103f20f087,36,36,0
0x5465a6f97b6c8b9016611de75508404fb5704ab6,126,3,123
0x5db3445c2c6ee45a2923ce96e17d9b7ed60b0e61,428,10,418
0xf0b23d4738ed2c7d89a13d3391ae4e9a8ccf0e44,210,89,121
0x81c52ab803ce1bb18d78aee52a467df8e6458047,65,64,1
0x4d8161421e3794b987e83a0ee6371c17bff69348,39,2,37
0xe7623b874531eb96e049f9d5a47ad14bd25ce28d,130,128,2
0x7dfb72a2aad08c937706f21421b15bfc34cba9ca,71,71,0
0xeee01e9364c2bf5aff24328fb5bdfb98ff5ceee3,202,10,192
0xdde48aa5aba12ff91b8d6baadaa5060768ac314f,27,1,26
0x96af517c414b3726c1b2ecc744ebf9d292dcbf60,420,99,321
0xc8d2bf842b9f0b601043fb4fd5f23d22b9483911,192,102,90
0x22e211034214edeab1d21ba50a85a43ab70e2728,57,57,0
0xff80bd43e3f0e414afc70cb8ac1d3f0e6a303a2f,89,89,0
0x21a961f46d40085094a7d0e729c99141e68969eb,44,19,25
0xd123145184749704eeb9510fef69cd58e417e841,425,421,4
0x8dc7b6ec6fafa36085ee9ec8e39112428d3360aa,442,136,306
0xd2dda223b2617cb616c1580db421e4cfae6a8a85,251,243,8
0x0df49ce5a655b53118824c7ad4988da4fe9035f5,293,38,255
0x5b31b8ca1770cf1f817146b4cd2078bf8629bf8a,26,26,0
0xc9da65931abf0ed1b74ce5ad8c041c4220940368,33,33,0
0x80d4914685ba4bca07a995bb160a8fc4cd4de5b6,200,68,132
0x19b08c0c1e103b9525a760913e94bc0811117891,66,1,65
0xbe50283a23cf952e78272d41adcf7ffad711b637,36,35,1
0xe70741df7a9077bd9027f44f98c2011548ae1504,154,153,1
0x2322b56ae00a53092e2688ab038881a0c0cf00a3,245,4,241
0x6c936d4ae98e6d2172db18c16c4b601c99918ee6,107,107,0
0x982a5a3f6abfd179b3f7649af37942235a90935f,353,353,0
0xbd6442e65789bdc6a10f09bd13f7320337c5a38e,91,91,0
0x1f0ad1f5280adf7ad971c0f911cc1f7a882033c5,90,90,0
0xd478161c952357f05f0292b56012cd8457f1cfbf,210,210,0
0xf1a827c1fcbf26ac7c079039c50f633ab7a550bf,90,6,84
0xd30e98f68c1a42b1754ffe5de31841fb33d54870,94,3,91
0xa5bb0df45740380e366878028f09258d3dbe60b2,278,277,1
0xcd3261befea8ce3daabdc9f98c6fe1df4abd69a8,115,86,29
0x5755ab845ddeab27e1cfce00cd629b2e135acc3d,146,36,110
0x39317b8a1ae06c30bb615d88cdc5522781499f1c,78,57,21
0x2aee08c64c832d3d4100bb52169b15b85c4b1a30,23,22,1
0x53d690ac1c13e7ee2660fc31f7b36ffcdb7f2f42,20,1,19
0x5e30aaf41b0dff94672c8daf941a1fec5b8b6aaa,107,9,98
0xeba596f75b5b9f42ba75cf05912217134cb0d7c8,178,50,128
0xcd34bd199dd4cc11311ce62123081a83db6b44e2,210,178,32
0x47d748c9babd5cca642f9f98e07442c0b5b04d2f,410,0,410
0xac57de9c1a09fec648e93eb98875b212db0d460b,135,59,76
