addr,total,success,fail
0x3e54b6c7610a734a83f3542f5b5f9ca2dc6fae48,119,64,55
0xeb4db2c0899841a466fb1e5bb2b13b1041b22406,51,51,0
0xff7caa55f41fea41be8d2bcb1b4cc734d24162cc,70,65,5
0x64195bab73c76fdb059f667116b3c1d49dafdabe,455,392,63
0x8e1ede0f23091a7b7daecfc259d7e411e9b96097,32,32,0
0xace669531365ec127c308d89fe0b5d531d04cd52,77,77,0
0x2781246fe707bb15cee3e5ea354e2154a2877b16,171,37,134
0x10010078a54396f62c96df8532dc2b4847d47ed3,52,33,19
0xd487892bb4c57edbe7ab401d9fe801c8fe6473f5,70,18,52
0x787cf4212e8840dac775b496ef7e2c06f717e779,293,285,8
0x4d68ce90c48fbe79bba500f99d0df8f5050ce7df,61,58,3
0x8b27a351690e62b623a7630c5294e7dac5371723,223,214,9
0x6b6d2a08c61ce400cad6ebd711a0fe65519412c5,99,74,25
0x31fdd1c6607f47c14a2821f599211c67ac20fa96,71,15,56
0x01379a8c67466af8ce0cf1f99c3d8208b2a3af23,144,72,72
0x7357dc2f2b6b51c8e2c7efc728002a499d503c17,202,179,23
0x97872eafd79940c7b24f7bcc1eadb1457347adc9,90,3,87
0x38c5699625c10b309dc6bb18be9c458d19b43d3a,76,61,15
0xef16dfd16bd9de7ffb95fbe69073fe38688a7f8e,27,27,0
0x82b6fe968f6262d7c8914275d58759de9b61f676,228,228,0
0x413d4f3e116bc364e4799f2e7137029c41563cd5,258,226,32
0xa3e53fe692eeda3502cf5ccfd8a535e1f93d23dd,60,6,54
0x165a2ed732eb15b54b5e8c057cbce6251370d6e8,246,118,128
0x19b86299c21505cdf59ce63740b240a9c822b5e4,311,177,134
0xad22f63404f7305e4713ccbd4f296f34770513f4,268,109,159
0xa18c3352be081c47abd207b0361c09b74223a1fe,12,4,8
0x92057ed615ef0f302a94ae58406303f7e6827f45,381,47,334
0xaaf6ee66a7480c505fe93dcf253c586b0b7e1340,86,65,21
0xbc0e0c1468aa9d80c0ddda8ca63de3798b4d8b93,129,95,34
0xaa462106da447c0440a4be29614c19387a59a331,197,181,16
0x03b8d129a8f6dc62a797b59aa5eebb11ad63dada,233,222,11
0x17f5655c7d834e4772171f30e7315bbc3221f1ee,78,27,51
0xb0f466cc45dc73d0a6ea889c63390aeea7b6dcc5,83,28,55
0x5c76ad4764a4607cd57644faa937a8ca16729e39,428,36,392
0x999e88075692bcee3dbc07e7e64cd32f39a1d3ab,126,59,67
0x2013ff029f9d3d31169f4fdc673c8b9fa0ce1fbd,97,95,2
0x86232df6947a1c3ed3c7a31ec6be3c43b3234ab1,77,48,29
0x0a44a0c1a7547de1a38602c4d8d2ba8e6869412f,58,47,11
0x7ddc52c4de30e94be3a6a0a2b259b2850f421989,130,50,80
0x37784637e421ea5abc9f3917d65d0257a1ea2d0a,27,25,2
0x92e4ae1b2700d3033e5bb7cab10bee66e4a91045,233,233,0
0x33a39af0f83e9d46a055e6eebde3296d26d916f4,127,84,43
0x4078f1fcc6d4b20d905a87ac18f533ff5e76863e,59,36,23
0x1afb69dbc9f54d08dab1bd3436f8da1af819e647,43,7,36
0x3bcf909d564bdac5d7ead28a99664643aabe961a,27,27,0
0xeecd1c042c378676ee1985dd66481b2589a809f9,119,74,45
0x9a534628b4062e123ce7ee2222ec20b86e16ca8f,277,77,200
0x01cecf7a8f0095fa622ff03d714fd2244548da35,69,68,1
0xc9fba54b933fabec28ee4da7401f79be973e67f2,31,30,1
0x245cd9bab50a79bab89443cc005c6bf7892cef4c,34,17,17
0x3491ead95de2f4a945c2ead3c3afe7747f2ae373,57,29,28
0xff44b5719f0b77a9951636fc5e69d3a1fc9e7d73,132,24,108
0xb9e971c00b1257d0f6d67eff37f4a46e1ab6bf24,191,91,100
0xff062471eaf07b50fc1b77e61787301867610f80,450,16,434
0xa55d9ef16af921b70fed1421c1d298ca5a3a18f1,45,1,44
0x31429d1856ad1377a8a0079410b297e1a9e214c2,104,83,21
0x8392f6669292fa56123f71949b52d883ae57e225,456,456,0
0x1f5a49a1a349ad8b5f7ee4cb02982d9cf3f4df01,46,35,11
0xf36b9dd2df416fde94a0f890dd1ebbd4a7cb72fa,45,19,26
0x33c6eec1723b12c46732f7ab41398de45641fa42,172,172,0
0x84c722e6f1363e8d5c6db3ea600bef9a006da824,94,16,78
0x438626ba0a4776cf5d27581bdfb03b9633dc0a92,258,35,223
0x5c9acf5e538a31b78017715652c21d1f7f1d41d1,13,8,5
0xfd5a48faf70433437079ec4da290556b187732c7,31,31,0
0xda30f261a962d5aae94c9ecd170544600d193766,26,0,26
0xcc2cd1b8e6298144fd7e86c168d1639c45157126,31,25,6
0xc4df6018f90f91bad7e24f89279305715b3a276f,202,152,50
0xb9ef770b6a5e12e45983c5d80545258aa38f3b78,269,118,151
0x7f0693074f8064cfbcf9fa6e5a3fa0e4f58ccccf,49,49,0
0xeff3f1b9400d6d0f1e8805bdde592f61535f5ecd,63,5,58
0x06fcbf38e823efc1e609b9491aab546334c6ee69,96,56,40
0x81c52ab803ce1bb18d78aee52a467df8e6458047,65,50,15
0x7dfb72a2aad08c937706f21421b15bfc34cba9ca,71,19,52
0xdde48aa5aba12ff91b8d6baadaa5060768ac314f,27,8,19
0x96af517c414b3726c1b2ecc744ebf9d292dcbf60,420,98,322
0xc8d2bf842b9f0b601043fb4fd5f23d22b9483911,192,156,36
0x22e211034214edeab1d21ba50a85a43ab70e2728,57,46,11
0xff80bd43e3f0e414afc70cb8ac1d3f0e6a303a2f,89,49,40
0x21a961f46d40085094a7d0e729c99141e68969eb,44,22,22
0xd123145184749704eeb9510fef69cd58e417e841,425,11,414
0x8dc7b6ec6fafa36085ee9ec8e39112428d3360aa,442,117,325
0x0df49ce5a655b53118824c7ad4988da4fe9035f5,293,293,0
0x5b31b8ca1770cf1f817146b4cd2078bf8629bf8a,26,26,0
0xc9da65931abf0ed1b74ce5ad8c041c4220940368,33,33,0
0x80d4914685ba4bca07a995bb160a8fc4cd4de5b6,200,125,75
0x19b08c0c1e103b9525a760913e94bc0811117891,66,23,43
0xbe50283a23cf952e78272d41adcf7ffad711b637,36,14,22
0x2322b56ae00a53092e2688ab038881a0c0cf00a3,245,26,219
0x982a5a3f6abfd179b3f7649af37942235a90935f,353,309,44
0x1f0ad1f5280adf7ad971c0f911cc1f7a882033c5,90,42,48
0xd478161c952357f05f0292b56012cd8457f1cfbf,210,103,107
0xa5bb0df45740380e366878028f09258d3dbe60b2,278,13,265
0xcd3261befea8ce3daabdc9f98c6fe1df4abd69a8,115,89,26
0x39317b8a1ae06c30bb615d88cdc5522781499f1c,78,59,19
0x2aee08c64c832d3d4100bb52169b15b85c4b1a30,23,22,1
0xeba596f75b5b9f42ba75cf05912217134cb0d7c8,178,66,112
0xcd34bd199dd4cc11311ce62123081a83db6b44e2,210,73,137
0x47d748c9babd5cca642f9f98e07442c0b5b04d2f,410,410,0
0x419c4db4b9e25d6db2ad9691ccb832c8d9fda05e,485,175,310
0x532e5efded726c6dde5228f35d805f531c14b0eb,110,9,101
0x652d68c39d3545714d9bf4616f778424a34cf603,137,86,51
0xa51cee4dd9a4e254dd5b8923024de5aab050391d,114,75,39
0x8c9317a16fa01c0227a01e728d3069e0575a8d5c,137,14,123
0x4dfcad285ef39fed84e77edf1b7dbc442565e55e,100,38,62
0xa7e0719a65128b2f6cdbc86096753ff7d5962106,80,29,51
0x398aea1c9ceb7de800284bb399a15e0efe5a9ec2,58,55,3
0x06daf7e34595f9d3260dd5262dca8e3bcfeb39d5,432,290,142
0xe09fde5ae0a90fc86ede741bf5d8d307a372e2fc,51,39,12
0xb0aeb224a915f7bd0460e21f55a213e5f6075523,21,20,1
0x39207d2e2feef178fbda8083914554c59d9f8c00,79,6,73
0x041259e02464cac4b4a8abf89d249ab15daeab73,73,56,17
0x62efd38a5efd7cfdb1c6e1c50f3083af636d1b40,120,56,64
0x23df60c63bf9b5bc78f9328f6b864768a0483cb0,144,144,0
0xd2aad45015090f8d45ad78e456b58dd61fb7cd79,204,58,146
0xfa347ed0f9b0c3607b6531f0559bf28bfc4e3d28,77,70,7
0x1894852504288219fa835af44528571d543958a1,51,25,26
0x38ec27c6f05a169e7ed03132bca7d0cfee93c2c5,81,77,4
0x21381e026ad6d8266244f2a583b35f9e4413fa2a,111,111,0
0xcfe17f8d1bc8c35a55487b917579fa3945ddfe0f,162,18,144
0xf81421fc15300c5a8cca9afe12f5cbad502fa756,95,6,89
0xd2489fd449af786ce6a8c5f52042ef239fac8009,311,267,44
0x88266e58a66cb5b1880814f6bfe5e12b68832b9d,10,10,0
0x7a8ce4beffe38f431a2f12e1a8b7d7dae62df359,86,44,42
0x0aa80dd6058d7730aeaea67c3525e7a61cda9725,28,1,27
0x7fac7eeb086d3c294abe48591073c4480251abce,29,26,3
0x041371f35dcbf957301cf52c50bdf562f047f1b0,75,48,27
0xd2b6752132d59bf5d0577142c36376b7421c3163,95,82,13
0xa4e8c3ec456107ea67d3075bf9e3df3a75823db0,342,153,189
0x0dc56a3b08b8bf1545e08b840eeb085b9c123763,49,49,0
0xd3e4ba569045546d09cf021ecc5dfe42b1d7f6e4,132,132,0
0xd3a4542fe6cdd6c1930f072b2d168cf506248acc,37,36,1
0x539e06a472e015ac95f4f31fb246f2d623a9261b,67,52,15
0xa36fdbbae3c9d55a1d67ee5821d53b50b63a1ab9,58,35,23
0x38d8b04ab6b9392c8e14f4745eb25dc3f4a49bb0,114,95,19
0xaf95e486d156476f9816df9a7356dc96257a5282,76,24,52
0x8d96b4ab6c741a4c8679ae323a100d74f085ba8f,52,52,0
0x93e57b6aeb89fc074313f71922c95abc3894a050,38,26,12
0x33fd4167e51a10d19c89c3a606389d0fddc3e676,122,81,41
0x3f2d1562c5e8109f697a19fa4eea6cca5ca138df,141,63,78
0xee637e90bf26425fe091a15ec721fefc158250f4,58,45,13
0x9acd29e52ccd4c20016b72fb816ee207c8de4d47,172,0,172
0x30808a6047f3d61c38ff43d8390da350d9be1870,168,117,51
0x430fef0e064dfde9f72888bd6f619fa58e7723e6,18,15,3
0x510887c470ee8eebebff0104b54d24aef8c45368,190,46,144
0xc005204856ee7035a13d8d7cdbbdc13027afff90,78,26,52
0x000a682feeeffc5e56a58a3b015fb07665d8a979,115,103,12
0x09f589e03381b767939ce118a209d474cc6d52fc,65,30,35
0x346b5b8844d2548f6ad55089d8939cffbe3acbaf,56,18,38
0x5b19518e78de2fc0c8d9aced836d17a5ada8aca1,174,77,97
0xc7f7c884bd9ed8d13a262386dcdf3e12a7a4a347,23,23,0
0xf97df1e168c27e22eedd34c05ae0615605c5dcbf,438,407,31
0x69a96059cc35da280af8005d165da1d040297696,461,2,459
0xa4fa96ddc3f0beed8c90e8ee32c5d674ae4f2f8e,21,9,12
0xee0ba89699a3dd0f08cb516c069d81a762f65e56,297,220,77
0xe0a189c975e4928222978a74517442239a0b86ff,240,83,157
0x89c9c2e4ebeff6903223b062458e11e56636f838,222,176,46
